identifier,question-type,theme
category1e,TF,programming-language
category1f,VF,langage-de-programmation
category2e,MCQ,programming-language
category2f,QCM,langage-de-programmation
category3e,MCQ,programming-semantic
category3f,QCM,semantique-de-programmation
category4e,MCQ,programming-semantic
category4f,QCM,semantique-de-programmation
category5f,QCM,semantique-de-programmation
category6f,QCM,semantique-de-programmation
category7f,VF,semantique-de-programmation
category8f,QCM,semantique-de-programmation
category9f,QCM,convention-de-programmation
category10f,QCM,convention-de-programmation
category11f,QCM,convention-de-programmation
category12f,QCM,convention-de-programmation
category13f,MCQ,logo-informatique
category14f,MCQ,logo-informatique
category15f,MCQ,logo-informatique
category16f,MCQ,logo-informatique
category17f,MCQ,logo-informatique
category18f,MCQ,logo-informatique
category5e,MCQ,programming-semantic
category6e,MCQ,programming-semantic
category7e,TF,programming-semantic
category8e,MCQ,programming-semantic
category9e,MCQ,programming-convention
category10e,MCQ,programming-convention
category11e,MCQ,programming-convention
category12e,MCQ,programming-convention
category13e,MCQ,it-logo
category14e,MCQ,it-logo
category15e,MCQ,it-logo
category16e,MCQ,it-logo
category17e,MCQ,it-logo
category18e,MCQ,it-logo
