identifier,question-type,theme
category1e,TF,addition
category1f,VF,addition
category2e,TF,soustraction
category2f,VF,soustraction
category3e,TF,multiplication
category3f,VF,multiplication
category4e,TF,division
category4f,VF,division
category5e,TF,addition
category5f,VF,addition
category6e,TF,soustraction
category6f,VF,soustraction
category7e,TF,multiplication
category7f,VF,multiplication
category8e,TF,division
category8f,VF,division
category9e,MCQ,priority-of-operation
category9f,QCM,priorité-des-opération
category10e,MCQ,priority-of-operation
category10f,QCM,priorité-des-opération
category11e,MCQ,priority-of-operation
category11f,QCM,priorité-des-opération
category12e,MCQ,priority-of-operation
category12f,QCM,priorité-des-opération
